Source,Target,Weight
43,127,42
58,123,25
58,124,25
58,125,25
58,116,80
58,126,40
58,127,43
123,124,25
123,125,25
123,116,25
123,126,25
123,127,25
123,57,25
123,51,17
124,125,25
124,116,25
124,126,25
124,127,25
124,57,25
124,51,17
125,116,25
125,126,27
125,127,27
125,57,27
125,51,17
116,126,40
116,127,40
116,57,82
116,51,71
126,127,42
126,57,42
126,51,29
127,57,44
127,51,31
128,129,315
128,130,218
128,73,315
128,71,266
128,131,315
128,132,315
128,133,315
128,4,254
128,72,169
128,3,315
128,134,315
128,5,308
129,130,218
129,73,315
129,71,266
129,131,315
129,132,315
129,133,315
129,4,254
129,72,169
129,3,315
129,134,315
129,5,308
130,73,218
130,71,169
130,131,218
130,132,218
130,133,218
130,4,157
130,72,169
130,3,218
130,134,218
130,5,218
73,131,315
73,132,315
73,133,315
73,4,254
73,134,315
73,5,308
71,131,266
71,132,266
71,133,266
71,4,254
71,134,266
71,5,259
131,132,315
131,133,315
131,4,254
131,72,169
131,3,315
131,134,315
131,5,308
132,133,315
132,4,254
132,72,169
132,3,315
132,134,315
132,5,308
133,4,254
133,72,169
133,3,315
133,134,315
133,5,308
4,72,157
4,134,254
72,134,169
72,5,169
3,134,315
134,5,308
20,30,161
66,20,138
50,20,143
18,48,214
36,48,150
57,48,148
50,48,107
50,0,143
18,32,199
2,32,414
32,30,430
66,32,106
50,32,135
18,30,231
18,57,201
18,37,191
18,66,121
50,18,143
36,2,130
36,30,167
66,36,52
50,36,102
39,2,179
39,30,193
66,39,106
50,39,107
2,37,146
66,2,123
50,2,107
30,57,160
30,37,191
66,30,109
50,30,110
66,57,138
50,57,119
66,37,71
50,37,102
50,66,65
32,76,146
0,76,206
18,76,206
18,25,221
18,41,244
18,43,196
18,51,160
76,25,221
56,76,93
64,76,78
50,76,127
41,76,205
50,25,132
41,25,220
50,56,81
50,64,73
50,41,129
50,43,114
50,51,87
66,135,90
66,136,90
66,43,131
66,58,90
66,137,75
66,51,102
66,138,84
66,139,71
135,136,92
135,20,97
135,41,81
135,43,97
135,58,95
135,2,75
135,57,97
135,137,80
135,51,86
135,138,82
135,139,71
136,20,92
136,41,78
136,43,92
136,58,90
136,2,75
136,57,92
136,137,75
136,51,81
136,138,82
136,139,71
20,137,80
20,138,84
20,139,73
41,137,78
41,138,72
41,139,71
43,137,80
138,43,82
43,139,71
58,137,80
138,58,82
58,139,69
2,137,75
138,2,69
2,139,71
57,137,80
138,57,84
57,139,73
137,51,72
138,137,67
137,139,69
138,51,71
51,139,64
138,139,68
62,9,62
18,62,77
135,62,77
136,62,77
140,62,77
20,62,79
96,62,79
141,62,79
62,139,58
18,9,63
135,9,67
136,9,62
140,9,62
20,9,83
43,9,83
141,9,62
57,9,83
51,9,75
9,139,56
18,135,77
18,136,77
18,140,77
18,96,78
18,141,77
18,139,56
135,140,77
135,96,77
135,141,77
136,140,77
136,96,77
136,141,77
140,20,77
140,43,77
140,96,77
140,141,77
140,57,77
140,51,66
140,139,56
20,96,95
20,141,79
43,96,93
43,141,77
96,141,79
96,57,95
96,51,82
96,139,58
141,57,79
141,51,66
141,139,58
41,30,216
54,38,56
59,38,56
86,38,54
52,38,56
47,112,56
47,113,56
47,103,56
47,114,56
47,38,56
112,84,54
113,84,54
103,84,54
114,84,54
84,38,54
87,38,56
93,38,56
53,38,56
112,38,56
113,38,56
103,38,56
114,38,56
66,25,88
135,25,53
136,25,53
58,25,93
137,25,38
138,25,45
25,139,32
135,0,92
136,0,87
0,137,76
138,0,78
0,139,66
82,48,159
19,48,169
24,48,141
45,48,16
28,48,141
76,48,161
48,25,164
82,0,176
0,28,158
18,82,176
18,31,111
18,45,35
18,28,158
82,36,156
82,24,156
82,41,176
82,31,109
82,45,33
82,28,156
82,30,176
82,76,191
82,37,163
82,25,191
36,24,156
